model_name,series,year_model,product_status,top_wood,back_sides_wood,shape,neck,pickup_eq,bracing,bridge,fingerboard,nut_saddle,tuner,strings,inlays,top_color,back_sides_color,headstock_facia,bridge_pins,neck_meets_body,num_frets,overall_length_mm,body_width_mm,body_depth_heel_mm,body_depth_base_mm,scale_mm,scale_inches,nut_width_mm,nut_width_inches,binding,purfling,armrest,body_finish,headstock_plate,neck_joint,case_bag,primary_image_url,source_url
MD60ce Shadowburst,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MD60ce-Shadowburst_Left-3-4.png,https://alvarezguitars.com/guitar/md60ce-shadowburst/
MD66ce Shadowburst,Masterworks Series,2024,current,Solid African Mahogany,Solid African Mahogany,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MD66ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/md66ce-shadowburst/
LF60e Sunset,Laureate Series,,current,AAA Solid North American Sitka,Solid African Mahogany,OM,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Sunset/Gloss,Natural/Gloss,Ebony,Ebony,14th Fret,21,1015,390,96,108,635,25,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LF60e-Sunset_Left_3-4.png,https://alvarezguitars.com/guitar/lf60e-sunset/
MD60e Herringbone,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MD60_Left_3-4-3.png,https://alvarezguitars.com/guitar/md60e-herringbone/
MD70 Herringbone,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Dreadnought,African Mahogany,,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,Herringbone,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MD70-Herringbone_Left_3-4.png,https://alvarezguitars.com/guitar/md70-herringbone/
MD66ce Custom,Masterworks Series,2024,current,Solid African Mahogany,Solid African Mahogany,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Shadowburst/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,Slim Ebony Bevel,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MD66ce-Custom_Left_3-4.png,https://alvarezguitars.com/guitar/md66ce-custom/
LF70e Daybreak,Laureate Series,2024,current,AAA Solid North American Sitka,Solid East Indian Rosewood,OM,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Daybreak/Gloss,Natural/Gloss,,,14th Fret,21,1015,390,96,108,635,25,44.45,1 3/4,Ebony,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/01/LF70e-Daybreak_Left_3-4.png,https://alvarezguitars.com/guitar/lf70e-daybreak/
LF70e Herringbone Sunset,Laureate Series,,current,AAA Solid North American Sitka,Solid East Indian Rosewood,OM,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Sunset/Gloss,Natural/Gloss,Ebony,Ebony,14th Fret,21,1015,390,96,108,635,25,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LF70eHerringbone-Sunset_Left_3-4.png,https://alvarezguitars.com/guitar/lf70e-herringbone-sunset/
MDR70e Sunburst,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Slope Shoulder,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Sunburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,12th Fret,20,1022,400,100,122,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MDR70e-Sunburst_Left_3-4.png,https://alvarezguitars.com/guitar/mdr70e-sunburst/
MD70ce Custom,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,Slim Ebony Bevel,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MD70ce-Custom_Left_3-4.png,https://alvarezguitars.com/guitar/md70ce-custom/
LP70e Herringbone Sunset,Laureate Series,,current,AAA Solid North American Sitka,Solid East Indian Rosewood,Parlor,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Sunset/Gloss,Natural/Gloss,Ebony,Ebony,12th Fret,19,985,360,92,106,610,24,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LP70eHerringbone-Sunset_Left_3-4.png,https://alvarezguitars.com/guitar/lp70e-herringbone-sunset/
MF60ce Shadowburst,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,OM,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MF60ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/mf60ce-shadowburst/
MF60e Herringbone,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,OM,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,22,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MF60e-Herringbone_Left_3-4-2.png,https://alvarezguitars.com/guitar/mf60e-herringbone/
LT60e,Laureate Series,,current,AAA Solid North American Sitka,Solid African Mahogany,000-12,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Natural/Gloss,Natural/Gloss,Ebony,Ebony,12th Fret,20,1012,380,100,120,648,25 1/2,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LT60e_Left_3-4.png,https://alvarezguitars.com/guitar/lt60e/
LT66e Daybreak,Laureate Series,,current,Solid African Mahogany,Solid African Mahogany,000-12,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Daybreak/Gloss,Natural/Gloss,Ebony,Ebony,12th Fret,20,1012,380,100,120,648,25 1/2,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LT66e-Daybreak_Left_3-4.png,https://alvarezguitars.com/guitar/lt66e-daybreak/
LF70e Herringbone Blacktop,Laureate Series,,current,AAA Solid North American Sitka,Solid East Indian Rosewood,,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Black/Gloss,Natural/Gloss,Ebony,Ebony,14th Fret,21,1015,390,96,108,635,25,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LF70eHerringbone-Blacktop_Left_3-4.png,https://alvarezguitars.com/guitar/lf70e-herringbone-blacktop/
LT70e Herringbone Sunset,Laureate Series,,current,AAA Solid North American Sitka,Solid East Indian Rosewood,000-12,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Sunset/Gloss,Natural/Gloss,Ebony,Ebony,12th Fret,20,1012,380,100,120,648,25 1/2,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LT70eHeringbone-Sunset_Left_3-4.png,https://alvarezguitars.com/guitar/lt70e-herringbone-sunset/
LP70e,Laureate Series,2024,current,AAA Solid North American Sitka,Solid East Indian Rosewood,Parlor,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Natural/Gloss,Natural/Gloss,,Ebony,12th Fret,19,985,360,92,106,610,24,44.45,1 3/4,,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/01/LP70e_Left_3-4.png,https://alvarezguitars.com/guitar/lp70e/
LF70Le Daybreak,Laureate Series,2024,current,AAA Solid North American Sitka,Solid East Indian Rosewood,OM,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Natural/Gloss,Natural/Gloss,,Ebony,14th Fret,21,1015,390,96,108,635,25,44.45,1 3/4,,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/10/LF70Le_Left_3-4-1.png,https://alvarezguitars.com/guitar/lf70le-daybreak/
LP70Le Daybreak,Laureate Series,2024,current,AAA Solid North American Sitka,Solid East Indian Rosewood,Parlor,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Natural/Gloss,Natural/Gloss,,Ebony,12th Fret,19,985,360,92,106,610,24,44.45,1 3/4,,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/10/LP70Le_Left_3-4-1.png,https://alvarezguitars.com/guitar/lp70le-daybreak/
LT70e Daybreak,Laureate Series,,current,AAA Solid North American Sitka,Solid East Indian Rosewood,000-12,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Daybreak/Gloss,Natural/Gloss,Ebony,Ebony,12th Fret,20,1012,380,100,120,648,25 1/2,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LT70e-Daybreak_Left_3-4.png,https://alvarezguitars.com/guitar/lt70e-daybreak/
MDR70 Sunburst,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Slope Shoulder,African Mahogany,,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Sunburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,12th Fret,20,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MDR70_Sunburst_Left_3-4.png,https://alvarezguitars.com/guitar/mdr70-sunburst/
MF60 Herringbone,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,OM,African Mahogany,,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,22,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MF60-Herringbone_Left_3-4_AH_tn.png,https://alvarezguitars.com/guitar/mf60-herringbone/
LP70e Daybreak,Laureate Series,2024,current,AAA Solid North American Sitka,Solid East Indian Rosewood,Parlor,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Daybreak/Gloss,Natural/Gloss,,Ebony,12th Fret,19,985,360,92,106,610,24,44.45,1 3/4,,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/01/LP70e-Daybreak_Left_3-4.png,https://alvarezguitars.com/guitar/lp70e-daybreak/
MD60 Herringbone,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,Dreadnought,African Mahogany,,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MD60-Herringbone_Left_3-4-1.png,https://alvarezguitars.com/guitar/md60-herringbone/
LP60e Sunset,Laureate Series,,current,AAA Solid North American Sitka,Solid African Mahogany,Parlor,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Sunset/Gloss,Natural/Gloss,Ebony,Ebony,12th Fret,19,985,360,92,106,610,24,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LP60e-Sunset_Left_3-4.png,https://alvarezguitars.com/guitar/lp60e-sunset/
LT60e Sunset,Laureate Series,,current,AAA Solid North American Sitka,Solid African Mahogany,,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Sunset/Gloss,Natural/Gloss,Ebony,Ebony,12th Fret,20,1012,380,100,120,648,25 1/2,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LT60e-Sunset_Left_3-4.png,https://alvarezguitars.com/guitar/lt60e-sunset/
MF66ce Shadowburst,Masterworks Series,2024,current,Solid African Mahogany,Solid African Mahogany,OM,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MF66ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/mf66ce-shadowburst/
MF70ce,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,OM,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1015,390,96,108,630,24 13/16,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MF70ce_Left_3-4.png,https://alvarezguitars.com/guitar/mf70ce/
MG60,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,Grand Auditorium,African Mahogany,,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MG60_Left_3-4.png,https://alvarezguitars.com/guitar/mg60/
MG66ce Shadowburst,Masterworks Series,2024,current,Solid African Mahogany,Solid African Mahogany,Grand Auditorium,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MG66ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/mg66ce-shadowburst/
MG60ce Shadowburst,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,Grand Auditorium,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MG60ce-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/mg60ce-shadowburst/
MG75ce,Masterworks Series,2024,current,Solid AA Western Red Cedar,Solid East Indian Rosewood,Grand Auditorium,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MG75ce_Left_3-4.png,https://alvarezguitars.com/guitar/mg75ce/
MG70ce Custom,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Grand Auditorium,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,Slim Ebony Bevel,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MG70ce-Custom_Left_3-4.png,https://alvarezguitars.com/guitar/mg70ce-custom/
MP66,Masterworks Series,2024,current,Solid African Mahogany,Solid African Mahogany,Parlor,African Mahogany,,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,12th Fret,18,985,360,92,106,610,24,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MP66_Left_3-4.png,https://alvarezguitars.com/guitar/mp66/
PYM66HD,Yairi Series,2024,current,"Solid Vintage Honduran Mahogany, Solid Honduran Mahogany",Solid Vintage Honduran Mahogany,Parlor,"One piece mahogany, 50/50 Semi gloss finish",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh Gold with Ebony Style Buttons,D'Addario EXP16,Ebony/12th Fret Inlay,,,,Ebony,12th Fret,20,967,360,89,111,610,24,44,1 23/32,Ivoroid,,,Natural/Gloss,Ebony,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/PYM66HD_Left_3-4-1.png,https://alvarezguitars.com/guitar/pym66hd/
MG66ce Custom,Masterworks Series,2024,current,Solid African Mahogany,Solid African Mahogany,Grand Auditorium,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Shadowburst/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,Slim Ebony Bevel,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MG66ce-Custom_Left_3-4.png,https://alvarezguitars.com/guitar/mg66ce-custom/
MP70e,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Parlor,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,12th Fret,18,985,360,92,106,610,24,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MP70e_Left_3-4.png,https://alvarezguitars.com/guitar/mp70e/
MP60e Shadowburst,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,Parlor,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,12th Fret,18,985,360,92,106,610,24,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MP60e-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/mp60e-shadowburst/
PYM60 Sunburst,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid African Mahogany,Parlor,"One piece mahogany, 50/50 Semi gloss finish",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh Gold with Ebony Style Buttons,D'Addario EXP16,Ebony/12th Fret Inlay,,,,Ebony,12th Fret,20,967,360,84,107,610,24,44,1 23/32,Ivoroid,,,Sunburst/Gloss,Ebony,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/PYM60_Sunburst_Left_3-4-1.png,https://alvarezguitars.com/guitar/pym60-sunburst/
MP66e Shadowburst,Masterworks Series,2024,current,Solid African Mahogany,Solid African Mahogany,Parlor,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Shadowburst/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,12th Fret,18,985,360,92,106,610,24,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MP66e-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/mp66e-shadowburst/
MG70ce,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Grand Auditorium,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MG70ce_Left_3-4.png,https://alvarezguitars.com/guitar/mg70ce/
PYM70,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Parlor,"One piece mahogany, 50/50 Semi gloss finish",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh Gold with Ebony Style Buttons,D'Addario EXP16,Ebony/12th Fret Inlay,,,,Ebony,12th Fret,20,967,360,84,107,610,24,44,1 23/32,Ivoroid,,,Natural/Gloss,Ebony,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/PYM70_Left_3-4-1.png,https://alvarezguitars.com/guitar/pym70/
RD26,Regent Series,,current,Spruce,African Mahogany,Dreadnought,"Mahogany, Satin finish",,Standard Scalloped X,Techwood,Techwood,PPS Synthetic Bone,Chrome Die Cast,Steel,,,,,,14th Fret,20,1028,393,100,121,648,25 1/2,43,1 11/16,Ivory ABS,,,Natural/Gloss,,Dovetail,,https://alvarezguitars.com/wp-content/uploads/2014/01/RD26_Front_3_4-2.jpg,https://alvarezguitars.com/guitar/rd26/
RC26,Regent Series,,current,Spruce,African Mahogany,Classical,"Mahogany, Satin finish",,Standard Scalloped X,Techwood,Techwood,PPS Synthetic Bone,"Die Cast, Chrome",Steel,,,,,,12th Fret,19,976,368,96,101,650,25 19/32,52,2 1/16,Ivory ABS,,,Natural/Gloss,,Dovetail,,https://alvarezguitars.com/wp-content/uploads/2014/01/RC26_Front_3_4-1.jpg,https://alvarezguitars.com/guitar/rc26/
RD26CESB,Regent Series,,current,Spruce,African Mahogany,Dreadnought,"Mahogany, Satin finish",SYS250,Standard Scalloped X,Techwood,Techwood,PPS Synthetic Bone,"Die Cast, Chrome",Steel,,,,,,14th Fret,20,1028,393,100,121,648,25 1/2,43,1 11/16,Ivory ABS,,,Sunburst/Gloss,,Dovetail,,https://alvarezguitars.com/wp-content/uploads/2014/01/RD26CESB_Front_3_4-1.jpg,https://alvarezguitars.com/guitar/rd26cesb/
RC26HCE,Regent Series,,current,Spruce,African Mahogany,Classical,"Mahogany, Satin finish",SYS250,Standard Scalloped X,Techwood,Techwood,PPS Synthetic Bone,"Die Cast, Chrome",,,,,,,14th Fret,19,1008,368,96,101,650,25 19/32,48,1 7/8,Ivory ABS,,,Natural/Gloss,,Dovetail,,https://alvarezguitars.com/wp-content/uploads/2018/01/RC26HCE_Front_3_4-1.jpg,https://alvarezguitars.com/guitar/rc26hce/
RD26CE,Regent Series,,current,Spruce,African Mahogany,Dreadnought,"Mahogany, Satin finish",SYS250,Standard Scalloped X,Techwood,Techwood,PPS Synthetic Bone,"Die Cast, Chrome",Steel,,,,,,14th Fret,20,1028,393,100,121,648,25 1/2,43,1 11/16,Ivory ABS,,,Natural/Gloss,,Dovetail,,https://alvarezguitars.com/wp-content/uploads/2014/01/RD26CE_Front_3_4-1.jpg,https://alvarezguitars.com/guitar/rd26ce/
RF26CESB,Regent Series,,current,Spruce,African Mahogany,Folk/OM,Mahogany,SYS250,Standard Scalloped X,Bi-Level,,PPS Synthetic Bone,Premium Chrome Die Cast,D'Addario EXP,,,,,,14th Fret,20,998,368,93,105,635,25,43,1 11/16,,,,Sunburst Gloss,,Dovetail,,https://alvarezguitars.com/wp-content/uploads/2021/02/RF26CESB_-Front_3_4-Left.jpg,https://alvarezguitars.com/guitar/rf26cesb/
RD26SB,Regent Series,,current,Spruce,African Mahogany,Dreadnought,"Mahogany, Satin finish",,Standard Scalloped X,Techwood,Techwood,PPS Synthetic Bone,"Chrome, Die Cast",Steel,,,,,,14th Fret,20,1028,393,100,121,648,"25 1/2""",43,1 11/16,Ivory ABS,,,Sunburst/Gloss,,Dovetail,,https://alvarezguitars.com/wp-content/uploads/2014/01/RD26SB_Front_3_4.jpg,https://alvarezguitars.com/guitar/rd26sb/
